Date,precipitation,avg_hourly_pressure_station,avg_hourly_wind_speed,max_wind_speed,avg_hourly_temperature,max_temperature,min_temperature
1986-12-05,0.0,100.56,19.75,37,-1.54,1.7,-4.2
1986-12-06,0.2,100.51,19.12,28,-0.69,1.6,-6.4
1986-12-07,3.0,99.95,11.96,20,-1.55,2.1,-8.1
1986-12-08,2.8,100.49,20.29,24,-8.41,-0.4,-11.2
1986-12-09,10.0,98.98,12.42,20,-2.82,1.9,-10.2
1986-12-10,0.0,99.34,28.0,52,-3.57,1.6,-6.3
1986-12-11,0.6,99.42,18.88,31,-4.17,-1.3,-6.9
1986-12-12,0.0,99.25,22.5,33,-3.27,-0.6,-12.2
1986-12-13,0.0,101.09,15.62,35,-10.77,-4.9,-16.7
1986-12-14,0.6,100.06,17.67,31,-2.75,2.5,-11.0
1986-12-15,0.0,100.23,12.67,28,1.48,2.6,0.0
1986-12-16,0.0,100.26,3.71,9,0.84,2.0,0.1
1986-12-17,0.0,100.0,8.67,19,2.19,3.9,0.0
1986-12-18,13.2,98.73,13.5,20,2.02,3.2,0.7
1986-12-19,0.0,99.48,15.92,28,0.88,2.2,-0.3
1986-12-20,0.0,100.09,9.5,15,-0.24,2.0,-2.0
1986-12-21,0.0,100.81,8.96,19,-2.84,0.9,-6.4
1986-12-22,0.0,100.32,21.17,39,-1.75,2.3,-5.6
1986-12-23,0.0,100.0,13.5,41,0.93,3.2,-0.6
1986-12-24,17.2,99.61,25.38,39,1.77,3.2,0.8
1986-12-25,3.8,98.78,17.0,31,1.99,3.4,0.8
1986-12-26,0.0,100.09,9.17,19,1.18,2.5,0.1
1986-12-27,0.0,100.43,4.04,9,0.02,1.2,-0.9
1986-12-28,0.0,100.23,11.79,24,-0.08,2.1,-1.3
1986-12-29,0.0,99.83,9.17,17,0.12,1.7,-1.4
1986-12-30,0.0,99.57,12.0,19,-0.43,1.1,-1.9
1986-12-31,0.0,100.23,6.62,13,0.5,1.9,-1.4
1987-01-01,0.0,99.73,11.62,17,0.57,1.7,-1.0
1987-01-02,5.6,98.93,18.62,24,-2.12,-0.7,-3.7
1987-01-03,0.0,99.76,20.71,41,-4.47,-1.2,-8.8
1987-01-04,0.0,100.56,5.75,17,-5.58,0.6,-12.4
1987-01-05,0.0,100.63,3.5,9,-2.66,3.8,-8.4
1987-01-06,0.0,99.26,7.17,13,0.15,3.3,-3.9
1987-01-07,0.0,98.85,23.75,35,0.8,3.7,-3.1
1987-01-08,0.0,99.63,16.12,26,-1.97,-0.4,-5.3
1987-01-09,0.2,99.61,10.46,26,-0.6,0.1,-1.2
1987-01-10,13.8,98.45,13.08,30,-0.11,0.9,-1.4
1987-01-11,0.8,98.03,22.33,31,-1.65,0.1,-3.2
1987-01-12,0.0,98.21,21.12,33,0.87,2.4,-0.4
1987-01-13,0.0,99.35,13.42,30,0.73,3.9,-2.0
1987-01-14,0.4,98.71,9.5,19,2.67,5.9,-1.4
1987-01-15,0.2,98.98,16.08,31,1.9,3.6,-3.1
1987-01-16,0.0,100.55,9.54,26,-5.76,-2.5,-9.6
1987-01-17,0.2,100.6,13.29,28,-6.42,-3.0,-11.5
1987-01-18,9.8,99.19,11.38,20,-2.4,-0.1,-5.0
1987-01-19,13.0,98.9,17.62,30,-6.97,-3.8,-14.0
1987-01-20,0.0,99.36,11.62,24,-9.38,-2.3,-20.7
1987-01-21,0.0,99.26,16.21,30,-5.97,-3.5,-8.3
1987-01-22,2.4,98.16,11.62,24,-3.23,-1.2,-7.1
1987-01-23,0.2,97.67,30.62,52,-11.07,-3.9,-16.5
1987-01-24,0.0,99.04,30.04,41,-15.13,-11.7,-17.2
1987-01-25,0.0,99.91,11.54,26,-12.15,-6.6,-16.4
1987-01-26,0.0,99.95,11.5,19,-13.93,-9.2,-17.2
1987-01-27,0.0,99.61,7.79,19,-10.09,-4.7,-17.2
1987-01-28,0.2,99.47,8.79,19,-6.2,-3.0,-14.2
