Date,ObservedsfcWindmax,ModelsfcWindmax
1987-11-25,26,31.475649600000004
1987-11-26,22,18.407394000000004
1987-11-27,28,37.0558044
1987-11-28,30,34.85950560000001
1987-11-29,31,20.77217172
1987-11-30,31,20.23460532
1987-12-01,20,39.9205404
1987-12-02,33,39.092374799999995
1987-12-03,17,30.529854
1987-12-04,28,28.8119484
1987-12-05,35,53.32538520000001
1987-12-06,22,45.3987648
1987-12-07,17,18.727963199999998
1987-12-08,13,24.810116400000005
1987-12-09,37,25.16819616
1987-12-10,30,27.25351812000001
1987-12-11,22,27.24576588000001
1987-12-12,37,29.870038800000003
1987-12-13,33,27.717211440000003
1987-12-14,26,23.491564200000006
1987-12-15,52,41.705071200000006
1987-12-16,37,36.485395200000006
1987-12-17,30,35.4048336
1987-12-18,19,38.7186984
1987-12-19,20,19.5618996
1987-12-20,46,13.769619120000002
1987-12-21,35,6.4420858800000005
1987-12-22,20,13.64554296
1987-12-23,24,41.1416424
1987-12-24,26,32.9788404
1987-12-25,28,39.973392
1987-12-26,24,39.42659520000001
1987-12-27,22,25.13823984
1987-12-28,26,48.21919200000001
1987-12-29,39,54.044652600000006
1987-12-30,17,25.8718788
1987-12-31,44,48.67131240000001
1988-01-01,37,48.4107156
1988-01-02,31,35.1989784
1988-01-03,22,20.7976968
1988-01-04,43,28.5738588
1988-01-05,46,29.007943200000003
1988-01-06,28,48.38995440000001
1988-01-07,20,36.4323312
1988-01-08,15,22.50961632
1988-01-09,30,36.0980838
1988-01-10,19,35.092206000000004
1988-01-11,37,24.11693856
1988-01-12,57,49.3666416
1988-01-13,54,46.6489908
1988-01-14,17,43.7919984
1988-01-15,31,33.5603052
1988-01-16,33,41.6957796
1988-01-17,24,15.863985
1988-01-18,31,35.85359880000001
1988-01-19,37,36.7845228
1988-01-20,41,37.094112
1988-01-21,33,23.2746408
1988-01-22,28,40.1752008
1988-01-23,22,29.0575908
1988-01-24,33,22.30507692
1988-01-25,20,25.87088016
1988-01-26,33,19.57197708
1988-01-27,19,29.84328
1988-01-28,31,39.65147640000001
1988-01-29,22,26.49357504000001
1988-01-30,35,54.30356280000001
1988-01-31,41,45.9981864
1988-02-01,31,33.242414399999994
1988-02-02,28,32.463306
1988-02-03,24,31.5495144
1988-02-04,33,32.4293688
1988-02-05,33,28.29004056
1988-02-06,43,28.12515264
1988-02-07,35,31.478788800000004
1988-02-08,28,22.5033948
1988-02-09,22,32.295834
1988-02-10,22,44.679452399999995
1988-02-11,41,26.6255028
1988-02-12,33,39.61173600000001
1988-02-13,41,39.03036840000001
1988-02-14,22,32.6223252
1988-02-15,41,36.77956920000001
1988-02-16,20,33.922818
1988-02-17,24,58.3284132
1988-02-18,15,34.0922808
1988-02-19,20,25.95864024
1988-02-20,56,36.7317612
1988-02-21,33,35.7489144
1988-02-22,54,21.7031652
1988-02-23,30,28.0269522
1988-02-24,35,30.048040800000006
1988-02-25,26,38.7407592
1988-02-26,30,29.434050000000006
1988-02-27,33,49.1298516
1988-02-28,24,44.3098458
1988-03-01,20,43.081041600000006
1988-03-02,33,18.7324344
1988-03-03,28,23.90089428
1988-03-04,26,20.50138944000001
1988-03-05,24,43.69419720000001
1988-03-06,24,38.0701404
1988-03-07,31,28.92522600000001
1988-03-08,24,36.3952512
1988-03-09,33,29.291112
1988-03-10,35,28.540995480000007
1988-03-11,17,19.17542376
1988-03-12,33,38.667423600000006
1988-03-13,28,41.03552520000001
1988-03-14,26,46.18734840000001
1988-03-15,28,41.310306
